"ID","TASK","WHO ID","WHAT ID","RELATED ASSOCIATION","DUE DATE","TASK SUB TYPE","DESCRIPTION","STATUS","PRIORITY","STATUS"
"00T3C00000GLDnLUAX","task 001","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnMUAX","task 002","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnNUAX","task 003","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnOUAX","task 004","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnPUAX","task 005","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnQUAX","task 006","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnRUAX","task 007","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnSUAX","task 008","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnTUAX","task 009","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnUUAX","task 010","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnVUAX","task 011","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnWUAX","task 012","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnXUAX","task 013","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnYUAX","task 014","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnZUAX","task 015","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnaUAH","task 016","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnbUAH","task 017","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDncUAH","task 018","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDndUAH","task 019","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDneUAH","task 020","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnfUAH","task 021","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDngUAH","task 022","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnhUAH","task 023","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDniUAH","task 024","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnjUAH","task 025","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnkUAH","task 026","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnlUAH","task 027","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnmUAH","task 028","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnnUAH","task 029","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnoUAH","task 030","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnpUAH","task 031","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnqUAH","task 032","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnrUAH","task 033","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
"00T3C00000GLDnsUAH","task 034","","","0013C00000mXBfsQAG","11/7/2022","task","max, martha , pothos should be assigned with the deal","Item Created","Normal","Item Created"
